Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
AA-10315,184,5,5563.56,2,2,5,225
AA-10375,19,9,1056.39,5,5,2,552
AA-10480,259,4,1790.5120000000002,1,1,3,113
AA-10645,55,6,5086.9349999999995,3,3,5,335
AB-10015,415,3,886.156,1,1,1,111
AB-10060,54,8,7755.62,3,4,5,345
AB-10105,41,10,14473.570999999998,4,5,5,455
AB-10150,41,5,966.71,4,2,2,422
AB-10165,25,8,1113.838,5,4,2,542
AB-10255,166,9,914.5319999999999,2,5,1,251
AB-10600,50,4,1515.862,4,1,2,412
AC-10420,232,3,925.8,1,1,1,111
AC-10450,11,7,5527.846,5,3,5,535
AC-10615,6,5,2537.6859999999997,5,2,3,523
AC-10660,282,5,657.316,1,2,1,121
AD-10180,29,8,6106.88,4,4,5,445
AF-10870,41,7,2052.908,4,3,3,433
AF-10885,415,4,861.565,1,1,1,111
AG-10270,278,5,2582.898,1,2,3,123
AG-10300,118,4,367.548,2,1,1,211
AG-10330,8,5,660.972,5,2,1,521
AG-10390,114,5,200.945,2,2,1,221
AG-10495,78,8,2356.855,3,4,3,343
AG-10525,845,4,1455.038,1,1,2,112
AG-10675,97,7,3489.0396000000005,3,3,4,334
AG-10765,77,4,170.584,3,1,1,311
AG-10900,96,10,4510.797,3,5,5,355
AH-10030,12,7,1744.7,5,3,3,533
AH-10075,34,10,3250.337,4,5,4,454
AH-10120,60,7,1735.5140000000001,3,3,2,332
AH-10195,55,4,1587.452,3,1,2,312
AH-10210,6,9,4805.344,5,5,5,555
AH-10465,230,5,2495.3916,1,2,3,123
AH-10585,21,4,738.504,5,1,1,511
AH-10690,410,12,7888.294,1,5,5,155
AI-10855,13,10,4375.786,5,5,5,555
AJ-10780,75,7,4867.344,3,3,5,335
AJ-10795,166,7,4501.391,2,3,5,235
AJ-10945,85,7,1839.24,3,3,3,333
AJ-10960,74,3,629.2479999999999,3,1,1,311
AM-10360,28,5,814.012,4,2,1,421
AM-10705,162,8,5664.022,2,4,5,245
AO-10810,501,1,161.28,1,1,1,111
AP-10720,41,8,1638.554,4,4,2,442
AP-10915,98,10,3323.556,3,5,4,354
AR-10345,111,4,1055.694,2,1,2,212
AR-10405,125,5,2236.128,2,2,3,223
